,Dominant_Topic,Keywords,Text,CardVariant,Category
111,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",get reward points every rs spent get bonus reward points annually convert reward points air india miles reward point equal air india air mile earn upto reward points every rs spent air india tickets booked airindia com airindia mobile app reward points booked self reward points booked others,Air India SBI Signature Credit Card,GROCERY MOVIE DINING FUEL
112,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",get reward points every rs spent get upto bonus reward points annually convert reward points air india miles reward point equal air india air mile earn upto reward points every rs spent air india tickets booked airindia com airindia mobile app reward points booked self reward points booked others,Air India SBI Platinum Credit Card,GROCERY MOVIE DINING FUEL
113,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",reward points per per rs spent auto top reward points per rs spent dining movies grocery departmental stores reward points per month reward point per rs spent categories cumulative reward points accrued per rs spent dining movies grocery departmental stores mumbai metro sbi card maximum cap reward points per month cap limit reward points achieved reward point every rs spent per card policy continue accrue cumulative reward points accrued per rs spent auto top mumbai metro sbi card maximum cap reward points per month cap limit reward points achieved reward point every rs spent per card policy continue accrue,Mumbai Metro SBI Card,GROCERY MOVIE DINING FUEL
114,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",reward points per rs spent dining movies grocery departmental stores standing instruction utility bill payments reward points per month reward point per rs spent categories,Delhi Metro SBI Card,GROCERY MOVIE DINING FUEL
115,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",buy tickets irctc co irctc mobile app android ac ac ac ac cc earn value back reward points get reward point every rs spent non fuel retail purchases including railway ticket purchases www irctc co irctc mobile app android save transaction charges railway ticket bookings www irctc co,IRCTC SBI Platinum Card,GROCERY MOVIE DINING FUEL
116,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",get reward points dining departmental stores grocery spends earn reward points per rs spends except fuel,UCO Bank SBI Card ELITE,GROCERY MOVIE DINING FUEL
117,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",get reward points per rs spent standing instructions utility bills payments get reward points per rs spent dining groceries departmental stores movies enjoy reward points per rs spent birthday,UCO Bank SBI Card PRIME,GROCERY MOVIE DINING FUEL
118,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",spend rs first days get bonus reward points enjoy reward points per rs spent dining movies departmental stores grocery spends earn reward point per rs spent spends reward points rs,UCO Bank SimplySAVE SBI Card,GROCERY MOVIE DINING FUEL
119,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",get reward points dining departmental stores grocery spends earn reward points per rs spends except fuel,Central Bank of India SBI Card Elite,GROCERY MOVIE DINING FUEL
120,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",get reward points per rs spent standing instructions utility bills payments get reward points per rs spent dining groceries departmental stores movies enjoy reward points per rs spent birthday,Central Bank of India SBI Card Prime,ACCOMMODATION
121,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",spend first days get bonus reward points enjoy reward points per rs spent dining movies departmental stores grocery spends spends earn reward point per rs spent reward points,Central Bank Of India SimplySave SBI Card,ACCOMMODATION
122,,,get reward points per rs spent standing instructions utility bills payments get reward points per rs spent dining groceries departmental stores movies enjoy reward points per rs spent birthday,City Union Bank SBI Card PRIME,
123,,,spend rs first days get bonus reward points enjoy reward points per rs spent dining movies departmental stores grocery spends earn reward point per rs spent spends reward points rs,City Union Bank SimplySAVE SBI Card,
124,,,get reward points dining departmental stores grocery spends earn reward points per rs spends except fuel,Allahabad Bank SBI Card ELITE,
125,,,get reward points per rs spent standing instructions utility bills payments get reward points per rs spent dining groceries departmental stores movies enjoy reward points per rs spent birthday,Allahabad Bank SBI Card PRIME,
126,,,spend first days get bonus reward points enjoy reward points per rs spent dining movies departmental stores grocery spends spends earn reward point per rs spent reward points,Allahabad Bank SimplySAVE SBI Card,
127,,,get reward points per rs spent standing instructions utility bills payments get reward points per rs spent dining groceries departmental stores movies enjoy reward points per rs spent birthday,Karnataka Bank SBI Card PRIME,
128,,,earn reward point every rs spent get value back departmental store grocery purchases,Karnataka Bank SBI SimplySAVE Credit Card,
129,,,earn reward points every rs spent categories get spend rewards annual spending rs lakhs lakhs gift voucher worth rs following brands yatra hush puppies bata westside shoppers stop,South Indian Bank SBI Platinum Credit Card,
130,,,earn reward point every rs spent get value back departmental store grocery purchases,South Indian Bank SimplySAVE SBI Card,
131,,,earn bonus reward points achieving annual spends rs lakhs lakhs lakhs earn bonus reward points crossing annual spends rs lakhs get reward points dining departmental stores grocery spends earn reward points every rs spent categories,KVB SBI Signature Card,
132,,,earn reward points every rs spent categories get spend rewards annual spending rs lakhs lakhs gift voucher worth rs following brands yatra hush puppies bata westside shoppers stop, Karur Vysya Bank - SBI Platinum Credit Card,
133,,,enjoy value back get reward points per rs spent departmental grocery stores spends earn reward point per rs spent reward points rs,Karur Vysya Bank - SBI Card,
134,,,earn reward points every rs spent categories get spend rewards annual spending rs lakhs lakhs gift voucher worth rs following brands yatra hush puppies bata westside shoppers stop,Bank of Maharashtra - SBI Platinum Credit Card,
135,,,enjoy value back get reward points per rs spent departmental grocery stores spends earn reward point per rs spent reward points rs,Bank of Maharashtra - SBI Card,
136,,,get reward points per rs spent dining utility bills payments office supplies earn reward points per rs retail spends except fuel earn reward points per inr spends metro cash carry stores complimentary privileges bandhan loyalty program metro cash carry get inr flight bookings inr quarter get hotel bookings quarter enjoy complimentary green fees access per year complimentary golf coaching lesson per month select golf courses india enjoy discount best available room rates discount lalit hotels enjoy flat discount bookings sarovar hotels get hotels homestays travelguru com get text classified display classified bookmyad com flat printvenue,SBI PRIME Business Credit Card,
137,,,get reward points dining utility bills payments office supplies earn reward points per rs spends except fuel get inr flight bookings inr quarter get hotel bookings quarter earn reward points per inr spends metro cash carry stores complimentary privileges bandhan loyalty program metro cash carry enjoy complimentary green fees access per year complimentary golf coaching lesson per month select golf courses india enjoy discount best available room rates discount lalit hotels enjoy flat discount bookings sarovar hotels get hotels homestays travelguru com get text classified display classified bookmyad com flat printvenue,SBI ELITE Business Credit Card,
